,,,,,,,,,,,Last Updated >,11/16/2022,,[1kW = 1.34 HP],EVR = Electric Range,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1 Mile = 1.61Km,MCR = Max Charge Rate,,,,,,,,,,,,,,,,,,,,,
,Planned Fleet Targets:,371,,,Median,Average,,,,,<Filtered to 1/1/21 and later,,,,YoM = Years on Market,,,,,USD/EUR,EUR/USD,,GBP/USD,USD/GBP,CNY/USD,USD/AUD,,km/Mi,Mi/km,,,,,,,
,Count of Planned Models:,79,,,270.00,271.88,,,,,Overall Range (mi),,,,,,,,,€0.94,$1.06,,$1.22,£0.82,$0.14,$1.56,,0.62,1.61,,,,,,,
,Global EVs currently available:,337,,,80.00,78.22,,,,,Battery (kWh),,,,,,,,,,,,,,,,,,,,,,,,,
,Count of involved Manufacturers:,83,,,"$58,175.00","$119,648.57",,,,,MSRP (USD),See data that you'd like added or changed? ,,,,,,,,,,,,,,,,,,,,,,,,
,Average planned/mfr:,0.95,,,248,328.86,,,,,Max Power output (kW),"You can help keep this document maintained by commenting on a cell. Right-click the cell and click ""Comment"" to suggest a change.",,,,,,,,,,,,,,,,,,,,,,,,
,Average released/mfr:,4.06,,$/mi Range,$224.21,317.45,,,,,wh/mi,Total Count of Missing Data Cells,,,,,,,"2,828",,,,,,,,,,,,,,,,,
,Total Invested:,"$124,900,000,000",,,,,,,,,,363,416,19,19,19,24,150,150,159,204,95,95,96,89,27,46,66,103,368,320,,,,,
Date Unveiled,Expected Release,Release Date,Discontinued,YoM,Planned,Released,Model Year,Brand,Model Name,Trim,Vehicle Name,Powertrain,Motors,Class,Style,EV Type,Seating,US MSRP,Global MSRP,$/mi EVR,$/kwh,wh/mi,mi/kWh,kWh/100mi,Batt kWh,EVR (mi),Comb. Range,ICER (mi),EVR (km),L2 MCR,Max DCFC,Motor (kW),Mfr Country,Market Availability,Source,Comments
-,2002-03-01,2002-03-01,2002-11-01,0.67,N/A,TRUE,2002,Toyota,Rav4 EV,,2002 Toyota Rav4 EV ,,,Compact SUV,SUV,BEV,5,"$42,000","€39,533.13",$442.11,"$1,532.85",288,3.47,28.8,27.4,95,95,0,152,-,-,97,Japan,"CA Only, US",,"Limited run, 328 sold. NiMH battery."
-,2010-06-01,2010-03-01,2014-11-01,4.67,N/A,TRUE,2010,Chery,QQ3 EV,,2010 Chery QQ3 EV ,,,City Car,City Car,BEV,5,-,-,-,-,-,-,-,-,62,62,0,99,-,-,,China,China,,
2009-08-02,2011-01-01,2010-11-12,2015-12-01,5.05,N/A,TRUE,2011,Nissan,Leaf,,2011 Nissan Leaf ,,,Compact Hatchback,Compact,BEV,5,"$32,769","€30,844.31",$448.89,"$1,365.38",329,3.04,32.9,24.0,73,73,0,117,-,-,80,Japan,,,
-,2011-10-01,2011-10-01,,12.10,N/A,TRUE,2012,Renault,Kangoo Z.E,,2012 Renault Kangoo Z.E ,,,Light Commercial Van,Van,BEV,2,-,-,-,-,196,5.09,19.6,33.0,168,168,0,269,-,-,44,,,,
-,2009-10-01,2011-10-26,,12.03,N/A,TRUE,2012,BYD,e6,,2012 BYD e6 ,,,Compact Crossover,Crossover,BEV,5,-,-,-,-,328,3.05,32.8,61.0,186,186,0,298,-,-,,China,"CN, BE, HK, TW, UK, CR, ID, UR, NL, US (CHI/NYC)",https://en.wikipedia.org/wiki/BYD_e6?fbclid=IwAR0HFMf_JXGPKMg-k_tio4ATshf2_Qe3VSq5NOwaDb-k5jW5_YSwndB_oLo#Initial_specs,Primarily sold for commercial Taxi Fleets
-,2012-01-01,2011-12-01,2017-12-31,6.09,N/A,TRUE,2012,Ford,Focus Electric,,2012 Ford Focus Electric ,,,Compact Hatchback,Compact,BEV,5,"$18,632","€17,537.65",$162.02,$810.09,200,5.00,20.0,23.0,115,115,0,184,-,-,107,,,,
